http://pbfcomics.com/157/,Slim , (different text) ,1300
http://pbfcomics.com/156/,Disassemble , (no color; separate pieces) ,1100
http://pbfcomics.com/155/,Gigaknight , watercolor; acrylic (separate pieces) ,1300
-,Zuthulu'sResurrection ,, SOLD
http://pbfcomics.com/153/,The Golden Ticket ,, SOLD
http://pbfcomics.com/152/,Scorpy the Forest Friend , (no color; some differences in characters) ,2000
http://pbfcomics.com/151/,b , (on canvas; very large 24 inches) , 1900 (w/ frame)
http://pbfcomics.com/150/,A Hit for Bobby,, SOLD
-,Sven's Revenge ,, SOLD
http://pbfcomics.com/148/,Butterfly Catchers ,, SOLD
-,Utter Pig , (very large illustration board) 25 inches; colored pencil ,2000
http://pbfcomics.com/146/,Bumble Buzzin ,, SOLD
http://pbfcomics.com/145/,Nunez ,, SOLD
http://pbfcomics.com/144/,Tub Times ,, SOLD
http://pbfcomics.com/143/,Kids are Thirsty ,, SOLD
http://pbfcomics.com/140/,Photo Album,, SOLD
-,Satan's Hell ,, SOLD
-,Zoo Keeper , (2 pieces; or 1 w/ different last frame) ,1000
-,Sheryl and Walbert , (no color; just ink) ,1300
http://pbfcomics.com/136/,Super League , (different font; different text; no color) ,1200
http://pbfcomics.com/134/,Game System ,,1400
http://pbfcomics.com/133/,Love Lizard, watercolor; 12 inches ,1400
http://pbfcomics.com/131/,Lord Gloom,, SOLD
http://pbfcomics.com/130/,Book World ,, SOLD
http://pbfcomics.com/129/,Colonel Sweeto ,, SOLD
http://pbfcomics.com/128/,Chew Boy,, SOLD
http://pbfcomics.com/137/,Doll Change,,SOLD
http://pbfcomics.com/127/,Mittens ,, SOLD
http://pbfcomics.com/126/,One More Day ,, SOLD
http://pbfcomics.com/124/,Nail Bite ,(2 pieces) ,1000
http://pbfcomics.com/123/,2-Apr,(visible white-out; different format) ,1000
http://pbfcomics.com/122/,No One is Thirsty ,, SOLD
http://pbfcomics.com/121/,Refridgeron and Magnimus , (3 pieces; different font; text; endings) ,1000
http://pbfcomics.com/120/,Moon Bunny ,, SOLD
-,Orbitoid and Jones  ,,1000
http://pbfcomics.com/118/,Missing Grandfather ,, SOLD
http://pbfcomics.com/117/,Bacon Egg ,,700
http://pbfcomics.com/116/,Sweet Deal ,,500
http://pbfcomics.com/115/,Hugbot , (4 pieces) ,1000
http://pbfcomics.com/114/,Mime City,, SOLD
http://pbfcomics.com/113/,Shotgun ,, SOLD
http://pbfcomics.com/112/,Mr. Rex ,, SOLD
http://pbfcomics.com/111/,Reset ,, SOLD
http://pbfcomics.com/110/,Birch St. ,, SOLD
http://pbfcomics.com/109/,Allen the Hungry Alligator ,, SOLD
http://pbfcomics.com/108/,Genius Sir,, SOLD
http://pbfcomics.com/106/,Billy the Bunny ,, SOLD
-,The Schlrobians Strike Again ,, SOLD
-,God Tree , (4 pieces; different text) ,800
http://pbfcomics.com/104/,Cars , (2 pieces; w/ alternate last frame) , SOLD
-,Nice T-shirt , (2 pieces) , SOLD
http://pbfcomics.com/102/,Rhino and Boy ,, SOLD
http://pbfcomics.com/99/,Grammar Wizard , (Marker on Bristol board; two pieces; some white-out; continuity errors where computer was used to double things),900
http://pbfcomics.com/98/,Sgt. Grumbles ,, SOLD
http://pbfcomics.com/97/,Astronaut Fall ,, SOLD
http://pbfcomics.com/96/,Earth Disorder ,, SOLD
-,Captain Redbeard , 2 pieces ; no color ,1000
http://pbfcomics.com/95/,Gnome Bubbles ,, SOLD
http://pbfcomics.com/94/,Freaking Vortex ,, SOLD
-,Bunny Easter ,, SOLD
http://pbfcomics.com/92/,The Mercy of Admiral Shlork ,, SOLD
http://pbfcomics.com/91/,Gotcha the Clown , (2 pieces; no color) ,1450
http://pbfcomics.com/87/,Goodnight Full Moon ,, SOLD
-,The Happy Brothers ,, SOLD
http://pbfcomics.com/84/,No Survivors ,, SOLD
-,Trampoline Hero , (illustration board; 13 inches maybe) ,700
http://pbfcomics.com/82/,Snail Harassment , (on printer paper; no grass in background; framed) ,1500
-,QPI Interview ,, SOLD
http://pbfcomics.com/80/,Mice Gun ,, SOLD
http://pbfcomics.com/79/,Christmas Surgery ,,1000
http://pbfcomics.com/78/,Nautical Awards,(missing typeface),9000
http://pbfcomics.com/77/,Bunny Pit ,, SOLD
http://pbfcomics.com/76/,Mountain Dad,, SOLD
http://pbfcomics.com/72/,Barb and Rudy,, SOLD
-,Ballerina Slippers ,, SOLD
-,Poor Tyler , (on printer paper) ,600
http://pbfcomics.com/71/,Weeaboo , (on printer paper) ,1550
-,Mermaid Princess ,, SOLD
http://pbfcomics.com/70/,Wise sensei ,, SOLD
-,Not Today ,, SOLD
